[['8.99', '-2.01', '-0.01', '-0.01', '-0.01', '-0.01'],
 ['9.0', '-1.98', '0.0', '0.0', '0.0', '0.02'],
 ['9.0', '-1.98', '0.0', '0.0', '0.0', '0.02'],
 ['8.99', '-1.98', '-0.01', '-0.01', '-0.01', '0.02'],
 ['9.01', '-1.99', '0.01', '0.01', '0.01', '0.01'],
 ['9.01', '-1.99', '0.01', '0.01', '0.01', '0.01'],
 ['8.99', '-2.01', '-0.01', '-0.01', '-0.01', '-0.01'],
 ['9.0', '-2.0', '1.0', '0.0', '0.0', '0.0'],
 ['9.01', '-2.0', '0.01', '0.01', '0.01', '0.0'],
 ['9.0', '-2.02', '0.0', '0.0', '0.0', '-0.02'],
 ['9.0', '-2.01', '0.0', '0.0', '0.0', '-0.01'],
 ['9.0', '-2.02', '0.0', '0.0', '0.0', '-0.02'],
 ['8.99', '-1.99', '-0.01', '-0.01', '-0.01', '0.01'],
 ['9.01', '-2.01', '0.01', '0.01', '0.01', '-0.01'],
 ['9.0', '-2.0', '0.0', '0.0', '0.0', '0.0'],
 ['9.0', '-1.99', '0.0', '0.0', '0.0', '0.01'],
 ['9.0', '-2.01', '0.0', '0.0', '0.0', '-0.01'],
 ['9.01', '-1.98', '0.01', '0.01', '0.01', '0.02'],
 ['9.01', '-2.01', '0.01', '0.01', '0.01', '-0.01'],
 ['9.0', '-1.98', '0.0', '0.0', '0.0', '0.02'],
 ['9.0', '-2.01', '0.0', '0.0', '0.0', '-0.01'],
 ['9.01', '-1.98', '1.01', '0.01', '0.01', '0.02'],
 ['9.0', '-2.0', '0.0', '0.0', '0.0', '0.0'],
 ['9.0', '-1.98', '0.0', '0.0', '0.0', '0.02'],
 ['9.0', '-2.0', '0.0', '0.0', '0.0', '0.0'],
 ['9.01', '-2.0', '0.01', '0.01', '0.01', '0.0'],
 ['9.01', '-2.01', '0.01', '0.01', '0.01', '-0.01'],
 ['9.01', '-2.0', '0.01', '0.01', '0.01', '0.0'],
 ['9.0', '-2.01', '1.0', '0.0', '0.0', '-0.01'],
 ['9.01', '-2.0', '1.01', '0.01', '0.01', '0.0'],
 ['8.99', '-2.02', '0.99', '-0.01', '-0.01', '-0.02'],
 ['9.0', '-3.0', '0.0', '0.0', '0.0', '0.0'],
 ['9.0', '-3.01', '1.0', '0.0', '0.0', '-0.01'],
 ['9.0', '-4.0', '1.0', '0.0', '0.0', '0.0'],
 ['10.01', '-2.01', '0.01', '0.01', '0.01', '-0.01'],
 ['11.0', '-1.0', '0.0', '0.0', '0.0', '0.0'],
 ['9.01', '-1.01', '0.01', '0.01', '0.01', '-0.01'],
 ['10.01', '-1.99', '0.01', '0.01', '0.01', '0.01'],
 ['10.0', '-0.99', '1.0', '0.0', '0.0', '0.01'],
 ['8.0', '-0.99', '2.0', '0.0', '0.0', '0.01'],
 ['8.0', '-0.99', '1.0', '0.0', '0.0', '0.01'],
 ['9.0', '-2.99', '1.0', '0.0', '0.0', '0.01'],
 ['9.0', '-3.98', '0.0', '0.0', '0.0', '0.02'],
 ['8.99', '-3.0', '-0.01', '-0.01', '-0.01', '0.0'],
 ['8.99', '-1.0', '-0.01', '-0.01', '-0.01', '0.0'],
 ['9.01', '-1.01', '1.01', '0.01', '0.01', '-0.01'],
 ['8.01', '-2.0', '1.01', '0.01', '0.01', '0.0'],
 ['8.01', '-2.99', '1.01', '0.01', '0.01', '0.01'],
 ['10.0', '-3.01', '0.0', '0.0', '0.0', '-0.01'],
 ['10.0', '-1.99', '1.0', '0.0', '0.0', '0.01'],
 ['9.01', '-1.0', '1.01', '0.01', '0.01', '0.0'],
 ['8.01', '-2.02', '1.01', '0.01', '0.01', '-0.02'],
 ['9.0', '-3.02', '1.0', '0.0', '0.0', '-0.02'],
 ['9.01', '-2.99', '0.01', '0.01', '0.01', '0.01'],
 ['8.99', '-2.01', '-0.01', '-0.01', '-0.01', '-0.01'],
 ['9.0', '-2.01', '0.0', '0.0', '0.0', '-0.01'],
 ['8.99', '-2.02', '-0.01', '-0.01', '-0.01', '-0.02'],
 ['9.0', '-2.0', '0.0', '0.0', '0.0', '0.0'],
 ['9.0', '-2.02', '0.0', '0.0', '0.0', '-0.02'],
 ['9.0', '-2.0', '0.0', '0.0', '0.0', '0.0'],
 ['9.01', '-2.02', '1.01', '0.01', '0.01', '-0.02'],
 ['9.0', '-1.98', '1.0', '0.0', '0.0', '0.02'],
 ['8.99', '-2.02', '0.99', '-0.01', '-0.01', '-0.02'],
 ['9.0', '-2.0', '1.0', '0.0', '0.0', '0.0'],
 ['9.0', '-2.0', '1.0', '0.0', '0.0', '0.0'],
 ['9.0', '-2.01', '1.0', '0.0', '0.0', '-0.01'],
 ['8.99', '-2.01', '0.99', '-0.01', '-0.01', '-0.01'],
 ['9.0', '-1.99', '0.0', '0.0', '0.0', '0.01'],
 ['9.0', '-1.99', '1.0', '0.0', '0.0', '0.01'],
 ['8.99', '-1.99', '0.99', '-0.01', '-0.01', '0.01'],
 ['8.99', '-2.01', '0.99', '-0.01', '-0.01', '-0.01'],
 ['8.99', '-2.0', '0.99', '-0.01', '-0.01', '0.0'],
 ['9.01', '-1.98', '1.01', '0.01', '0.01', '0.02'],
 ['9.01', '-2.0', '1.01', '0.01', '0.01', '0.0'],
 ['9.0', '-2.0', '1.0', '0.0', '0.0', '0.0'],
 ['8.99', '-2.01', '0.99', '-0.01', '-0.01', '-0.01'],
 ['8.99', '-2.0', '0.99', '-0.01', '-0.01', '0.0'],
 ['8.99', '-1.98', '0.99', '-0.01', '-0.01', '0.02'],
 ['9.0', '-2.01', '1.0', '0.0', '0.0', '-0.01'],
 ['9.0', '-2.0', '1.0', '0.0', '0.0', '0.0'],
 ['9.0', '-1.99', '1.0', '0.0', '0.0', '0.01'],
 ['8.99', '-1.98', '0.99', '-0.01', '-0.01', '0.02'],
 ['9.01', '-1.99', '1.01', '0.01', '0.01', '0.01'],
 ['9.0', '-1.99', '1.0', '0.0', '0.0', '0.01'],
 ['9.0', '-1.99', '1.0', '0.0', '0.0', '0.01'],
 ['9.0', '-2.0', '1.0', '0.0', '0.0', '0.0'],
 ['9.0', '-2.01', '1.0', '0.0', '0.0', '-0.01'],
 ['9.01', '-1.98', '1.01', '0.01', '0.01', '0.02'],
 ['8.99', '-2.02', '0.99', '-0.01', '-0.01', '-0.02'],
 ['8.99', '-2.0', '0.99', '-0.01', '-0.01', '0.0'],
 ['9.0', '-2.01', '1.0', '0.0', '0.0', '-0.01'],
 ['9.0', '-2.0', '1.0', '0.0', '0.0', '0.0'],
 ['9.0', '-2.0', '1.0', '0.0', '0.0', '0.0'],
 ['9.0', '-2.0', '1.0', '0.0', '0.0', '0.0'],
 ['8.99', '-1.98', '0.99', '-0.01', '-0.01', '0.02'],
 ['9.01', '-1.99', '1.01', '0.01', '0.01', '0.01'],
 ['9.01', '-2.01', '1.01', '0.01', '0.01', '-0.01'],
 ['9.0', '-1.98', '1.0', '0.0', '0.0', '0.02'],
 ['9.01', '-2.01', '1.01', '0.01', '0.01', '-0.01'],
 ['9.0', '-2.01', '1.0', '0.0', '0.0', '-0.01'],
 ['8.99', '-1.99', '0.99', '-0.01', '-0.01', '0.01'],
 ['9.01', '-1.99', '1.01', '0.01', '0.01', '0.01'],
 ['9.0', '-1.99', '1.0', '0.0', '0.0', '0.01'],
 ['9.0', '-2.01', '1.0', '0.0', '0.0', '-0.01'],
 ['8.99', '-1.99', '0.99', '-0.01', '-0.01', '0.01'],
 ['8.99', '-2.01', '0.99', '-0.01', '-0.01', '-0.01'],
 ['9.0', '-2.01', '1.0', '0.0', '0.0', '-0.01'],
 ['9.0', '-2.01', '1.0', '0.0', '0.0', '-0.01'],
 ['8.99', '-1.99', '0.99', '-0.01', '-0.01', '0.01'],
 ['9.01', '-1.98', '1.01', '0.01', '0.01', '0.02'],
 ['8.0', '-2.01', '1.0', '0.0', '0.0', '-0.01'],
 ['7.99', '-2.01', '1.99', '-0.01', '-0.01', '-0.01'],
 ['9.0', '-1.99', '2.0', '0.0', '0.0', '0.01'],
 ['10.01', '-2.01', '1.01', '0.01', '0.01', '-0.01'],
 ['11.01', '-3.0', '0.01', '0.01', '0.01', '0.0'],
 ['11.01', '-3.01', '0.01', '0.01', '0.01', '-0.01'],
 ['8.99', '-4.02', '-0.01', '-0.01', '-0.01', '-0.02'],
 ['8.99', '-4.01', '-0.01', '-0.01', '-0.01', '-0.01'],
 ['9.0', '-3.98', '0.0', '0.0', '0.0', '0.02'],
